order_id,item_category,supplier_name,warehouse_name,warehouse_location,fc_associate,order_status,total_quantity_required,total_quantity_received,total_quantity_in_transfer,unit_price,order_cost,lead_time_days,need_by_date,receive_date
32364,Electronics,Supplier_A,WH_MTP1,Carterstad,Assoc_323,Received,139,139,0,358,49762,18.0,2025-09-23,2025-09-29
77761,Medical Supplies,Supplier_B,WH_EYJ4,West Ralph,Assoc_559,Backordered,11,2,9,198,396,,2025-08-18,
19854,Office Supplies,Supplier_B,WH_ULN5,Eileenport,Assoc_320,Backordered,36,5,31,29,145,,2025-09-23,
69478,Office Supplies,Supplier_B,WH_YWT7,New John,Assoc_370,Pending,196,117,79,39,4563,,2025-08-31,
85555,Food & Beverage,Supplier_A,WH_HZU2,Popeport,Assoc_400,Backordered,157,49,108,4,196,,2025-09-23,
42186,Apparel,Supplier_B,WH_MTP1,Carterstad,Assoc_975,Received,35,35,0,58,2030,15.0,2025-09-14,2025-09-17
55933,Apparel,Supplier_B,WH_EEZ3,Port Julie,Assoc_314,Backordered,189,174,15,92,16008,,2025-09-20,
58604,Medical Supplies,Supplier_C,WH_ULN5,Eileenport,Assoc_646,Received,51,51,0,138,7038,9.0,2025-10-04,2025-10-04
45432,Medical Supplies,Supplier_A,WH_EEZ3,Port Julie,Assoc_963,Pending,68,4,64,100,400,,2025-09-10,
27490,Office Supplies,Supplier_A,WH_EYJ4,West Ralph,Assoc_680,Backordered,64,63,1,30,1890,,2025-08-23,
66318,Food & Beverage,Supplier_A,WH_OMJ4,Murphyshire,Assoc_242,Received,200,200,0,19,3800,9.0,2025-09-23,2025-09-21
15222,Food & Beverage,Supplier_C,WH_YNX2,Geraldland,Assoc_470,Received,45,45,0,18,810,3.0,2025-09-25,2025-09-18
95531,Electronics,Supplier_A,WH_ULN5,Eileenport,Assoc_911,Canceled,162,16,146,247,3952,,2025-09-04,
85117,Medical Supplies,Supplier_B,WH_HZU2,Popeport,Assoc_357,Pending,184,184,0,49,9016,,2025-09-09,
98377,Medical Supplies,Supplier_B,WH_EEZ3,Port Julie,Assoc_214,Backordered,121,20,101,136,2720,,2025-09-29,
40144,Office Supplies,Supplier_C,WH_ULN5,Eileenport,Assoc_619,Pending,170,76,94,45,3420,,2025-08-20,
98998,Medical Supplies,Supplier_A,WH_ULN5,Eileenport,Assoc_482,Received,148,148,0,155,22940,20.0,2025-08-23,2025-08-24
52357,Electronics,Supplier_B,WH_OMJ4,Murphyshire,Assoc_345,Pending,71,10,61,93,930,,2025-09-17,
65231,Food & Beverage,Supplier_A,WH_HZU2,Popeport,Assoc_884,Received,42,42,0,17,714,6.0,2025-09-17,2025-09-24
86685,Medical Supplies,Supplier_B,WH_EYJ4,West Ralph,Assoc_652,Received,192,192,0,99,19008,12.0,2025-10-03,2025-10-08
86247,Food & Beverage,Supplier_A,WH_EYJ4,West Ralph,Assoc_330,Pending,96,2,94,20,40,,2025-08-24,
